Country Name,Country Code,Indicator Name,percent
Angola,AGO,Exports of goods and services (% of GDP),37.78
Burundi,BDI,Exports of goods and services (% of GDP),4.98
Benin,BEN,Exports of goods and services (% of GDP),19.87
Botswana,BWA,Exports of goods and services (% of GDP),31.07
Central African Republic,CAF,Exports of goods and services (% of GDP),16.4
Cote d'Ivoire,CIV,Exports of goods and services (% of GDP),21.55
Cameroon,CMR,Exports of goods and services (% of GDP),15.03
"Congo, Dem. Rep.",COD,Exports of goods and services (% of GDP),28.6
"Congo, Rep.",COG,Exports of goods and services (% of GDP),54.23
Comoros,COM,Exports of goods and services (% of GDP),5.57
Cabo Verde,CPV,Exports of goods and services (% of GDP),24.85
Djibouti,DJI,Exports of goods and services (% of GDP),153.44325
Algeria,DZA,Exports of goods and services (% of GDP),18
"Egypt, Arab Rep.",EGY,Exports of goods and services (% of GDP),13.11
Ethiopia,ETH,Exports of goods and services (% of GDP),7.09
Gabon,GAB,Exports of goods and services (% of GDP),47.69
Ghana,GHA,Exports of goods and services (% of GDP),32.22
Guinea,GIN,Exports of goods and services (% of GDP),53.14
"Gambia, The",GMB,Exports of goods and services (% of GDP),8
Guinea-Bissau,GNB,Exports of goods and services (% of GDP),14.39
Equatorial Guinea,GNQ,Exports of goods and services (% of GDP),43.33
Kenya,KEN,Exports of goods and services (% of GDP),9.68
Libya,LBY,Exports of goods and services (% of GDP),28.48
Lesotho,LSO,Exports of goods and services (% of GDP),47.14
Morocco,MAR,Exports of goods and services (% of GDP),34.93
Moldova,MDA,Exports of goods and services (% of GDP),26.53
Madagascar,MDG,Exports of goods and services (% of GDP),20.13
Maldives,MDV,Exports of goods and services (% of GDP),49.47
Mali,MLI,Exports of goods and services (% of GDP),29.24
Mauritania,MRT,Exports of goods and services (% of GDP),39.78
Mauritius,MUS,Exports of goods and services (% of GDP),30
Namibia,NAM,Exports of goods and services (% of GDP),33.37
Niger,NER,Exports of goods and services (% of GDP),10.29
Nigeria,NGA,Exports of goods and services (% of GDP),8.83
Rwanda,RWA,Exports of goods and services (% of GDP),19.03
Sudan,SDN,Exports of goods and services (% of GDP),0.44
Senegal,SEN,Exports of goods and services (% of GDP),20.6
Sierra Leone,SLE,Exports of goods and services (% of GDP),15.09
Somalia,SOM,Exports of goods and services (% of GDP),16.55
Eswatini,SWZ,Exports of goods and services (% of GDP),45.02
Seychelles,SYC,Exports of goods and services (% of GDP),74.62
Chad,TCD,Exports of goods and services (% of GDP),26.44
Togo,TGO,Exports of goods and services (% of GDP),21.83
Tanzania,TZA,Exports of goods and services (% of GDP),14.3
Uganda,UGA,Exports of goods and services (% of GDP),15.41
United States,USA,Exports of goods and services (% of GDP),10.16
Vanuatu,VUT,Exports of goods and services (% of GDP),17.79
South Africa,ZAF,Exports of goods and services (% of GDP),27.78
Zambia,ZMB,Exports of goods and services (% of GDP),46.79
Zimbabwe,ZWE,Exports of goods and services (% of GDP),37.2
